,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
260,260,7.006122866353561,0.0,0.0,0.019474464310059617,0.000998477136512507,0.012194310698753761,0.0016236536057553125,47.97738605317803,40.45364111234861,20.764276095405656,0.13103641187028892,0.001445318307871911,8.52185582446188,7.632331027168877,-0.06328011326292332
261,261,7.006122866353561,0.0,0.0,0.018524683478117705,0.0009497808319419129,0.011599620063127347,0.0015444714675683278,48.34445194780335,40.818071730483574,20.948390569375253,0.13106004680785155,0.0013748332034306504,8.520102882846684,7.631657207608882,-0.06329379701373494
262,262,7.006122866353561,0.0,0.0,0.01762122400394779,0.0009034594741699153,0.01103392896443367,0.0014691505728635914,48.71164641139658,41.18262999455147,21.13253825193251,0.13108368600844855,0.0013077852396924702,8.518411152401276,7.631003944151151,-0.06330681506836698
263,263,7.006122866353561,0.0,0.0,0.016761826768273425,0.0008593972356743662,0.010495823533023559,0.0013975026670844778,49.078969488990595,41.547315949261645,21.316719149066856,0.1311073294729681,0.0012440068391911749,8.516778824552137,7.630370832567631,-0.06331919980600922
264,264,7.006122866353561,0.0,0.0,0.01594434283036539,0.0008174839379080319,0.009983958801084292,0.0013293486698472987,49.446421225633806,41.912129639338545,21.500933266769053,0.13113097720207634,0.0011833385909808534,8.515204121869003,7.629757459246589,-0.06333098203165642
265,265,7.006122866353561,0.0,0.0,0.015166728054570557,0.0007776147757948344,0.009497055348532055,0.0012645182283470716,49.81400166639061,42.277071109523945,21.685180611031196,0.1311546291964394,0.0011256288530936836,8.513685299316283,7.62916340306628,-0.06334219105255699
266,266,7.006122866353561,0.0,0.0,0.014427037998907984,0.0007396900556625722,0.009033896111748851,0.0012028492924457761,50.181710856340715,42.64214040457315,21.869461187846273,0.13117828545694543,0.0010707333742987109,8.512220645308645,7.628588237108264,-0.06335285475095928
267,267,7.006122866353561,0.0,0.0,0.013723423052951175,0.0007036149459568096,0.008593323347308493,0.0011441877103971672,50.54954884058027,43.00733756925901,22.053775003208376,0.1312019459842606,0.0010185149342305513,8.510808482586915,7.628031530221563,-0.06336299965333393
268,268,7.006122866353561,0.0,0.0,0.013054123812838579,0.0006692992401125971,0.008174235743209222,0.0010883868442118666,50.9175156642212,43.37266264836926,22.238122063112932,0.13122561077927308,0.0009688430010011682,8.509447168929302,7.627492848448112,-0.06337265099624026
269,269,7.006122866353561,0.0,0.0,0.012417466681847508,0.000636657130991071,0.007775585670486442,0.0010353072037138508,51.28561137239052,43.73811568670716,22.422502373555808,0.13124927984242696,0.000921593405450057,8.508135097711945,7.626971756319343,-0.06338183278900085
270,270,7.006122866353561,0.0,0.0,0.011811859685530595,0.0006056069963169121,0.007396376568418686,0.0009848160983846688,51.65383601023144,44.1036967290922,22.606915940534876,0.13127295317483245,0.0008766480312284367,8.506870698331788,7.62646781803304,-0.06339056787333512
271,271,7.006122866353561,0.0,0.0,0.011235788490950452,0.0005760711945801423,0.007035660456863953,0.0009367873061348753,52.02218962290317,44.46940582035852,22.791362770048007,0.1312966307771557,0.0008338945199514356,8.505652436503885,7.625980598519094,-0.06339887798010248
272,272,7.006122866353561,0.0,0.0,0.010687812620058544,0.0005479758708919076,0.006692535569572562,0.0008911007581832976,52.39067225558092,44.83524300535713,22.97584286809551,0.13132031265050692,0.0007932259906888989,8.504478814444346,7.625509664402169,-0.06340678378329093
273,273,7.006122866353561,0.0,0.0,0.010166561847749757,0.0005212507723087868,0.00636614410261735,0.000847642239263999,52.759283953455196,45.2012083289548,23.160356240677693,0.13134399879510816,0.00075454077310036,8.503348370949436,7.625054584868816,-0.06341430495138767
274,274,7.006122866353561,0.0,0.0,0.009670732775585916,0.0004958290721638399,0.006055670072362983,0.0008063031024182069,53.128024761732284,45.56730183603297,23.344902893795762,0.13136768921162556,0.0007177421535530267,8.502259681380448,7.62461493244605,-0.06342146019625426
275,275,7.006122866353561,0.0,0.0,0.009199085572620783,0.00047164720296513245,0.005760337277663983,0.0007669799976641324,53.49689472563468,45.933523571489054,23.52948283345335,0.13139138390183547,0.0006827381335933692,8.5012113575634,7.624190283697978,-0.06342826731963
